"Date","Price","Open","High","Low","Change %"
"May 03, 2019","7.872","7.854","7.889","7.854","0.24%"
"May 02, 2019","7.853","7.784","7.853","7.784","0.67%"
"Apr 30, 2019","7.801","7.789","7.801","7.784","0.27%"
"Apr 29, 2019","7.780","7.777","7.785","7.777","0.03%"
"Apr 26, 2019","7.778","7.760","7.796","7.760","0.53%"
"Apr 25, 2019","7.737","7.685","7.737","7.680","0.74%"
"Apr 24, 2019","7.680","7.661","7.682","7.661","0.37%"
"Apr 23, 2019","7.652","7.627","7.652","7.622","0.46%"
"Apr 22, 2019","7.617","7.572","7.617","7.572","0.46%"
"Apr 18, 2019","7.582","7.615","7.615","7.573","-0.62%"
"Apr 16, 2019","7.629","7.660","7.660","7.629","-0.47%"
"Apr 15, 2019","7.665","7.671","7.676","7.663","-0.25%"
"Apr 12, 2019","7.684","7.670","7.703","7.670","0.18%"
"Apr 11, 2019","7.670","7.680","7.686","7.659","0.03%"
"Apr 10, 2019","7.668","7.663","7.676","7.663","0.14%"
"Apr 09, 2019","7.657","7.626","7.665","7.626","0.37%"
"Apr 08, 2019","7.629","7.567","7.629","7.560","0.87%"
"Apr 05, 2019","7.563","7.578","7.578","7.551","-0.33%"
"Apr 04, 2019","7.588","7.602","7.622","7.586","-0.21%"
"Apr 02, 2019","7.604","7.596","7.604","7.593","0.14%"
"Apr 01, 2019","7.593","7.623","7.623","7.590","-0.94%"
"Mar 29, 2019","7.665","7.661","7.683","7.661","0.08%"
"Mar 28, 2019","7.659","7.627","7.659","7.627","0.49%"
"Mar 27, 2019","7.622","7.636","7.636","7.608","-0.04%"
"Mar 26, 2019","7.625","7.652","7.652","7.625","-0.30%"
"Mar 25, 2019","7.648","7.561","7.649","7.561","0.67%"
"Mar 22, 2019","7.597","7.599","7.599","7.575","-0.25%"
"Mar 21, 2019","7.616","7.721","7.721","7.616","-1.28%"
"Mar 20, 2019","7.715","7.737","7.739","7.715","-0.23%"
"Mar 19, 2019","7.733","7.733","7.751","7.733","-0.08%"
