"Date","Price","Open","High","Low","Change %"
"May 03, 2019","2.327","2.345","2.369","2.315","-0.85%"
"May 02, 2019","2.347","2.305","2.352","2.305","1.88%"
"May 01, 2019","2.303","2.282","2.310","2.222","1.11%"
"Apr 30, 2019","2.278","2.307","2.335","2.277","-1.47%"
"Apr 29, 2019","2.312","2.330","2.330","2.288","0.96%"
"Apr 26, 2019","2.290","2.323","2.345","2.280","-1.72%"
"Apr 25, 2019","2.330","2.317","2.337","2.306","0.78%"
"Apr 24, 2019","2.312","2.361","2.363","2.305","-2.08%"
"Apr 23, 2019","2.361","2.385","2.391","2.352","-1.01%"
"Apr 22, 2019","2.385","2.368","2.391","2.364","0.81%"
"Apr 21, 2019","2.366","2.368","2.368","2.366","-0.14%"
"Apr 18, 2019","2.369","2.399","2.399","2.356","-1.46%"
"Apr 17, 2019","2.404","2.402","2.430","2.391","-0.08%"
"Apr 16, 2019","2.406","2.372","2.411","2.363","1.43%"
"Apr 15, 2019","2.372","2.373","2.394","2.365","-0.06%"
"Apr 14, 2019","2.373","2.372","2.373","2.372","-0.15%"
"Apr 12, 2019","2.377","2.312","2.382","2.306","2.72%"
"Apr 11, 2019","2.314","2.282","2.319","2.277","1.94%"
"Apr 10, 2019","2.270","2.307","2.316","2.265","-1.60%"
"Apr 09, 2019","2.307","2.324","2.334","2.290","-0.82%"
"Apr 08, 2019","2.326","2.314","2.331","2.295","0.46%"
"Apr 07, 2019","2.315","2.315","2.315","2.315","0.28%"
"Apr 05, 2019","2.309","2.320","2.352","2.302","-0.39%"
"Apr 04, 2019","2.318","2.322","2.330","2.293","-0.52%"
"Apr 03, 2019","2.330","2.285","2.333","2.280","2.06%"
"Apr 02, 2019","2.283","2.310","2.312","2.280","-1.81%"
"Apr 01, 2019","2.325","2.261","2.327","2.246","2.89%"
"Mar 31, 2019","2.260","2.256","2.260","2.256","1.06%"
"Mar 29, 2019","2.236","2.214","2.260","2.206","1.22%"
"Mar 28, 2019","2.209","2.165","2.223","2.138","1.80%"
"Mar 27, 2019","2.170","2.205","2.213","2.118","-1.72%"
"Mar 26, 2019","2.208","2.197","2.242","2.180","0.96%"
"Mar 25, 2019","2.187","2.254","2.270","2.158","-2.81%"
"Mar 24, 2019","2.250","2.252","2.252","2.250","0.46%"
"Mar 22, 2019","2.240","2.341","2.341","2.224","-4.31%"
"Mar 21, 2019","2.341","2.323","2.350","2.299","0.64%"
"Mar 20, 2019","2.326","2.429","2.429","2.319","-4.24%"
"Mar 19, 2019","2.429","2.410","2.437","2.400","0.58%"
