Ticker,Company,Price,Change,EPS,PE Ratio (ttm),Market Cap. (Million IDR)
GOLL,PT. Golden Plantation Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
SCBD,PT. Danayasa Arthatama Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
CLAY,PT. Citra Putra Realty Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
PAFI,PT. Panasia Filament Inti Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
KBRI,PT. Kertas Basuki Rachmat Indonesia Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
SAIP,PT. Surabaya Agung Industri Pulp & Kertas Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
SOBI,PT. Sorini Agro Asia Corporindo Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
PWSI,PT. Panca Wiratama Sakti Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
SIAP,PT. Sekawan Intipratama Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
MITI,PT. Mitra Investindo Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
INVS,PT. Inovisi Infracom Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
ZBRA,PT. Zebra Nusantara Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
TRUB,PT. Truba Alam Manunggal Engineering Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
BAEK,PT. Bank Ekonomi Raharja Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
BBNP,PT. Bank Nusantara Parahyangan Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
JPRS,PT. Jaya Pari Steel Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
BCIC,PT. Bank Jtrust Indonesia Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
LCGP,PT. Eureka Prima Jakarta Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
CTRS,PT. Ciputra Surya Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
CPDW,PT. Indo Setu Bara Resources Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
CKRA,PT. Cakra Mineral Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
ATPK,PT. Bara Jaya Internasional Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
BORN,PT. Borneo Lumbung Energi & Metal Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
BRAU,PT. Berau Coal Energy Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
GEMS,PT. Golden Energy Mines Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
LAMI,PT. Lamicitra Nusantara Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
UNTX,PT. Unitex Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
AISA,PT. Tiga Pilar Sejahtera Food Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
DAVO,PT. Davomas Abadi Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
SCPI,PT. Merck Sharp Dohme Pharma Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
SQBB,PT. Taisho Pharmaceutical Indonesia Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
SQBI,PT. Taisho Pharmaceutical Indonesia (PS) Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
CTRP,PT. Ciputra Property Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
SIMM,PT. Surya Intrindo Makmur Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
BSWD,PT. Bank of India Indonesia Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
APOL,PT. Arpeni Pratama Ocean Line Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
TMPI,PT. Sigmagold Inti Perkasa Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
PLAS,PT. Polaris Investama Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
ASIA,PT. Asia Natural Resources Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
KARK,PT. Dayaindo Resources International Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
TKGA,PT. Permata Prima Sakti Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
GREN,PT. Bumiputera Investasi Indonesia Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
AIMS,PT. Akbar Indo Makmur Stimec Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
MTFN,PT. Capitalinc Investment Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
IDKM,PT. Indosiar Karya Media Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
GMCW,PT. Grahamas Citrawisata Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
TAXI,PT. Express Transindo Utama Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
CPGT,PT. Citra Maharlika Nusantara Corpora Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
CNTB,PT. Century Textile Industry (Saham Seri B) Tbk,0.0,"-250 (0,00%)",-585.0,-0.0,0.0
SOSS,PT. Shield On Service Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
DAJK,PT. Dwi Aneka Jaya Kemasindo Tbk,0.0,"0 (0,00%)",0.0,0.0,0.0
ITTG,PT. Leo Investments Tbk,0.0,"-82 (0,00%)",-2.0,-53.0,0.0
JKSW,PT. Jakarta Kyoei Steel  Works Tbk,60.0,"2 (3,45%)",-51.0,-1.0,9000.0
UNIT,PT. Nusantara Inti Corpora Tbk,204.0,"-2 (-0,97%)",7.0,31.0,15300.0
BIMA,PT. Primarindo Asia Infrastructure Tbk,50.0,"-1 (-1,96%)",-0.0,-194.0,30400.0
INDX,PT. Tanah Laut Tbk,75.0,"0 (0,00%)",-27.0,-3.0,32775.0
CNTX,PT. Century Textile Industry Tbk,484.0,"42 (9,50%)",-70.0,-7.0,33880.0
SIMA,PT. Siwani Makmur Tbk,90.0,"2 (2,27%)",0.0,1911.0,39780.0
KONI,PT. Perdana Bangun Pusaka Tbk,266.0,"52 (24,30%)",-63.0,-4.0,40432.0
PANI,PT. Pratama Abadi Nusa Industri Tbk,107.0,"0 (0,00%)",3.0,41.0,43870.0
WAPO,PT. Wahana Pronatural Tbk,85.0,"-2 (-2,30%)",3.0,26.0,44200.0
KARW,PT. ICTSI Jasa Prima Tbk,76.0,"-5 (-6,17%)",23.0,3.0,44612.0
LRNA,PT. Eka Sari Lorena Transport Tbk,129.0,"-2 (-1,53%)",-107.0,-1.0,45150.0
FORU,PT. Fortune Indonesia Tbk,99.0,"0 (0,00%)",-28.0,-4.0,46035.0
MTSM,PT. Metro Realty Tbk,200.0,"7 (3,63%)",-12.0,-16.0,46400.0
LMAS,PT. Limas Indonesia Makmur Tbk,59.0,"-1 (-1,67%)",-2.0,-37.0,46433.0
TRUK,PT. Guna Timur Raya Tbk,109.0,"-4 (-3,54%)",0.0,2561.0,47415.0
MGNA,PT. Magna Investama Mandiri Tbk,50.0,"0 (0,00%)",-41.0,-1.0,50150.0
JAYA,PT. Armada Berjaya Trans Tbk,137.0,"-1 (-0,72%)",4.0,31.0,51375.0
PKPK,PT. Perdana Karya Perkasa Tbk,86.0,"-2 (-2,27%)",-6.0,-14.0,51600.0
LMSH,PT. Lionmesh Prima Tbk,555.0,"0 (0,00%)",32.0,17.0,53280.0
SDMU,PT. Sidomulyo Selaras Tbk,51.0,"-1 (-1,92%)",-26.0,-2.0,57885.0
TRIL,PT. Triwira Insanlestari Tbk,50.0,"0 (0,00%)",-3.0,-18.0,60000.0
BAPA,PT. Bekasi Asri Pemula Tbk,93.0,"-1 (-1,06%)",8.0,11.0,61473.0
ETWA,PT. Eterindo Wahanatama Tbk,72.0,"0 (0,00%)",-170.0,-0.0,69696.0
MRAT,PT. Mustika Ratu Tbk,169.0,"-1 (-0,59%)",2.0,69.0,72332.0
TIRT,PT. Tirta Mahakam Resources Tbk,72.0,"2 (2,86%)",-74.0,-1.0,72792.0
PYFA,PT. Pyridam Farma Tbk,171.0,"-9 (-5,00%)",11.0,16.0,91485.0
